productName,lotNo,articleCode,description,brand,GST,Rate_Unit,barcodeId,HSNCode,quantity,category,subCategory,sellingPrice,UOM,storeName,manufacturer,totalValue
CROMA 4SL SS TOASTER CRK6046,484,100430,,,0.18,10,RP484CR0243,,1,Toaster,,,,store2,,
CROMA STEAM IRON 1250W CRK2049 BLUE,484,153529,,,0.18,10,RP484CR0267,,1,Iron,,,,store2,,
CROMA BENDABLE MASSAGER,484,155196,,,0.18,10,RP484CR0312,,1,Massager,,,,store2,,
CROMA HAIR DRYER 1500W CRAH4122,484,182579,,,0.18,10,RP484CR0223,,1,Hair Dryer,,,,store2,,
CROMA STEAM IRON CRAK2100 CORDLESS,484,186675,,,0.18,10,RP484CR0279,,1,Iron,,,,store2,,
Croma Hand Bldr Chop Whisk CRAK4160,484,186716,,,0.18,10,RP484CR0248,,1,Hand Blander,,,,store2,,
Croma Hand Bldr Chop Whisk CRAK4160,484,186716,,,0.18,10,RP484CR0251,,1,Hand Blander,,,,store2,,
Croma universal 2USB Adapter 2.1A EP0144,484,186765,,,0.18,10,RP484CR0114,,1,Mobile Charger,,,,store2,,
Croma BS 2Sl Toaster with Lid CRK4174,484,196420,,,0.18,10,RP484CR0245,,1,Toaster,,,,store2,,
